Invoice_Line,Related_Doc,Code,Charge_Name,Charge_Type,Description,Amount,Mileage,Family,SKUs,TV_Size,TV_Qty,Status,Strategy,Expected,Diff,Contract_Ref,Note
266,7325449388,1002770,Truck Freight Charge,freight,Last Mile (Delivery),106.65,90.1,"dishwashers, refrigerators, ranges","NSE6DB830012AA, HA-HAUL-AWY, DW80BB707012AA, RF29BB860012AA, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,106.65,0.0,XPO 2017 (Pg 22): Appliance Delivery 2 Unit(s) @ $94.0 Base,Calc: $94.0 * 1.13455 (Hist. GRI) = $106.65
267,7325449388,1002771,Truck Freight Charge,freight,Last Mile Surcharge,29.85,90.1,"dishwashers, refrigerators, ranges","NSE6DB830012AA, HA-HAUL-AWY, DW80BB707012AA, RF29BB860012AA, DM_HA_STANDARD",,,MATCH (Mileage Surcharge),Appliance_Mileage_Observed,30.2,-0.35,Observed Rate: Excess Miles (>75) @ $2.0/mi,Calc: (90.1 - 75) mi * $2.0 = $30.2
268,7324859236,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,11.49,17.56,tvs,"QN65QN1EFAFXZA, DM_CE_STANDARD_LARGE",65-inch,1,MATCH (FSA),FSA_12thAmd_Table,11.49,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($92.67) = $11.49
269,7324859236,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,92.67,17.56,tvs,"QN65QN1EFAFXZA, DM_CE_STANDARD_LARGE",65-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,92.67,0.0,12th Amd (Pg 3): TV Threshold 0-25 Miles @ $90.85,Size: 65-inch | Calc: 1 Unit: $90.85 * 1.02 (GRI) = $92.67
270,7325340782,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,30.5,refrigerators,"RZ11M7074SA/AA, DM_HA_STANDARD",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
271,7325340782,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,30.5,refrigerators,"RZ11M7074SA/AA, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
272,7326028917,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,15.17,98.64,tvs,"QN98QN90FAFXZA, DM_CE_STANDARD_LARGE",98-inch,1,MATCH (FSA),FSA_12thAmd_Table,15.17,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($122.36) = $15.17
273,7326028917,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,122.36,98.64,tvs,"QN98QN90FAFXZA, DM_CE_STANDARD_LARGE",98-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,122.36,0.0,12th Amd (Pg 3): TV Threshold 75-100 Miles @ $119.96,Size: 98-inch | Calc: 1 Unit: $119.96 * 1.02 (GRI) = $122.36
274,7326028917,1305805,Installation Fee,installation,Additional Labor Daily (3-Man Truck),157.0,98.64,tvs,"QN98QN90FAFXZA, DM_CE_STANDARD_LARGE",98-inch,1,MATCH (Accessorial),14thAmd_3rdMan,157.0,0.0,14th Amd (Sec e): 3rd Man @ $157.0,Size: 98-inch | Calc: Flat Rate $157.0
275,7326028918,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,15.17,98.64,tvs,"QN85QN90FAFXZA, DM_CE_STANDARD_LARGE",85-inch,1,MATCH (FSA),FSA_12thAmd_Table,15.17,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($122.36) = $15.17
276,7326028918,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,122.36,98.64,tvs,"QN85QN90FAFXZA, DM_CE_STANDARD_LARGE",85-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,122.36,0.0,12th Amd (Pg 3): TV Threshold 75-100 Miles @ $119.96,Size: 85-inch | Calc: 1 Unit: $119.96 * 1.02 (GRI) = $122.36
277,7322177533,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,13.66,68.89,tvs,"QN65LS03DAFXZA, DM_CE_STANDARD_LARGE",65-inch,1,MATCH (FSA),FSA_12thAmd_Table,13.66,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($110.18) = $13.66
278,7322177533,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,110.18,68.89,tvs,"QN65LS03DAFXZA, DM_CE_STANDARD_LARGE",65-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,110.18,-0.0,12th Amd (Pg 3): TV Threshold 50-75 Miles @ $108.02,Size: 65-inch | Calc: 1 Unit: $108.02 * 1.02 (GRI) = $110.18
279,7325340784,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,113.03,microwaves,"ME11F7510MT/AA, DM_HA_STANDARD",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
280,7325340784,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,113.03,microwaves,"ME11F7510MT/AA, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
281,7325340784,1002771,Truck Freight Charge,freight,Last Mile Surcharge,75.62,113.03,microwaves,"ME11F7510MT/AA, DM_HA_STANDARD",,,MATCH (Mileage Surcharge),Appliance_Mileage_Observed,76.06,-0.44,Observed Rate: Excess Miles (>75) @ $2.0/mi,Calc: (113.03 - 75) mi * $2.0 = $76.06
282,7325340785,1002783,Truck Freight Charge,freight,Limited Access (Metro Area),61.2,39.29,refrigerators,"RF29DB960012AA, HA-INST-BESPOKE00, HA-HAUL-AWY, DM_HA_STANDARD",,,SKIPPED,,0.0,0.0,,
283,7325340785,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,39.29,refrigerators,"RF29DB960012AA, HA-INST-BESPOKE00, HA-HAUL-AWY, DM_HA_STANDARD",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
284,7325340785,1305771,Installation Fee,installation,White Glove,17.03,39.29,refrigerators,"RF29DB960012AA, HA-INST-BESPOKE00, HA-HAUL-AWY, DM_HA_STANDARD",,,MATCH (White Glove),Appliance_WhiteGlove_Observed,17.02,0.01,Inferred Pattern: Base $15 + $12/Extra (Qty 1),Calc: $15 * 1.135 (GRI) = $17.02
285,7325340785,1305780,Unknown,Unknown,Unknown,20.42,39.29,refrigerators,"RF29DB960012AA, HA-INST-BESPOKE00, HA-HAUL-AWY, DM_HA_STANDARD",,,SKIPPED,,0.0,0.0,,
286,7325340785,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,39.29,refrigerators,"RF29DB960012AA, HA-INST-BESPOKE00, HA-HAUL-AWY, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
287,7325267696,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,11.49,11.42,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (FSA),FSA_12thAmd_Table,11.49,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($92.67) = $11.49
288,7325267696,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,92.67,11.42,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,92.67,0.0,12th Amd (Pg 3): TV Threshold 0-25 Miles @ $90.85,Size: 75-inch | Calc: 1 Unit: $90.85 * 1.02 (GRI) = $92.67
289,7323708123,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,22.0,"refrigerators, ranges, washers, dryers","DM_HA_STANDARD, RF29BB86004MAA, WA55A7300AE/US, NSE6DB830012AA, DVE55A7300E/A3",,,UNDERCHARGED (FSA),,15.62,-4.79,,Expected 12.4% of ($125.94 (Appliance Base)) = $15.62
290,7323708123,1305792,Installation Fee,installation,Not Home,87.36,22.0,"refrigerators, ranges, washers, dryers","DM_HA_STANDARD, RF29BB86004MAA, WA55A7300AE/US, NSE6DB830012AA, DVE55A7300E/A3",,,MATCH (Not Home / Attempt),NotHome_Universal,87.36,-0.0,Universal Attempt Fee (Base $77.0),Calc: $77.0 * 1.13455 (GRI) = $87.36
291,7323708123,1002770,Truck Freight Charge,freight,Last Mile (Delivery),125.94,22.0,"refrigerators, ranges, washers, dryers","DM_HA_STANDARD, RF29BB86004MAA, WA55A7300AE/US, NSE6DB830012AA, DVE55A7300E/A3",,,MATCH (Appliance Delivery),Appliance_Del_2017,125.94,0.0,XPO 2017 (Pg 22): Appliance Delivery 3 Unit(s) @ $111.0 Base,Calc: $111.0 * 1.13455 (Hist. GRI) = $125.94
292,7323150200,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,25.93,77.54,"television-home-theater-accessories, tvs","QN98Q7FAAFXZA, L-INST/A1-EQ55, DM_CE_STANDARD_LARGE",98-inch,1,MATCH (FSA),FSA_12thAmd_Table,25.93,0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($112.2 + $96.9) = $25.93
293,7323150200,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,112.2,77.54,"television-home-theater-accessories, tvs","QN98Q7FAAFXZA, L-INST/A1-EQ55, DM_CE_STANDARD_LARGE",98-inch,1,MATCH (Wall Mount),Wall_Mount_12thAmd,112.2,0.0,12th Amd (Pg 3): Wall Mount Delivery @ $110.0,SKU: L-INST/EQ55 | Calc: $110.0 * 1.02 (GRI) = $112.2
294,7323150200,1305900,Installation Fee,installation,Standard Tv Delivery Plus Wall Mount- Unconcealed,96.9,77.54,"television-home-theater-accessories, tvs","QN98Q7FAAFXZA, L-INST/A1-EQ55, DM_CE_STANDARD_LARGE",98-inch,1,MATCH (Wall Mount Install),WM_Install_12thAmd,96.9,0.0,12th Amd (Pg 3): Wall Mount Install @ $95.0,Code 1305900 | Calc: $95.0 * 1.02 (GRI) = $96.9
295,7323150200,1305805,Installation Fee,installation,Additional Labor Daily (3-Man Truck),157.0,77.54,"television-home-theater-accessories, tvs","QN98Q7FAAFXZA, L-INST/A1-EQ55, DM_CE_STANDARD_LARGE",98-inch,1,MATCH (Accessorial),14thAmd_3rdMan,157.0,0.0,14th Amd (Sec e): 3rd Man @ $157.0,Size: 98-inch | Calc: Flat Rate $157.0
296,7323150200,1002771,Truck Freight Charge,freight,Last Mile Surcharge,5.97,77.54,"television-home-theater-accessories, tvs","QN98Q7FAAFXZA, L-INST/A1-EQ55, DM_CE_STANDARD_LARGE",98-inch,1,SKIPPED,,0.0,0.0,,
297,7324132061,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,13.66,57.38,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (FSA),FSA_12thAmd_Table,13.66,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($110.18) = $13.66
298,7324132061,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,110.18,57.38,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,110.18,-0.0,12th Amd (Pg 3): TV Threshold 50-75 Miles @ $108.02,Size: 75-inch | Calc: 1 Unit: $108.02 * 1.02 (GRI) = $110.18
299,7325449386,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,16.98,wall-ovens,"DM_HA_STANDARD, NQ70CB700D12AA",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
300,7325449386,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,16.98,wall-ovens,"DM_HA_STANDARD, NQ70CB700D12AA",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
301,7325267698,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,12.4,31.1,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (FSA),FSA_12thAmd_Table,12.4,0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($100.0) = $12.4
302,7325267698,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,100.0,31.1,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,100.0,-0.0,12th Amd (Pg 3): TV Threshold 25-50 Miles @ $98.04,Size: 75-inch | Calc: 1 Unit: $98.04 * 1.02 (GRI) = $100.0
303,7325571053,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,38.58,176.18,tvs,"QN65QN1EFAFXZA, DM_CE_STANDARD_LARGE",65-inch,1,SKIPPED,,0.0,0.0,,
304,7325571053,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,311.1,176.18,tvs,"QN65QN1EFAFXZA, DM_CE_STANDARD_LARGE",65-inch,1,DISCREPANCY,,280.5,30.6,$275.0 + 2% GRI,
305,7324205326,1002785,Truck Freight Charge,freight,Limited Access (Remote Area),52.79,138.06,tvs,"QN55Q6FAAFXZA, DM_CE_STANDARD_LARGE",55-inch,1,MATCH (Remote Area (Tier 2)),LimitedAccess_12thAmd,52.78,0.01,12th Amd (Pg 5): Limited Access (Remote Area) @ $45.0 + 15%,Context: Remote | Calc: ($45.0 * 1.02 (GRI)) * 1.15 (Surcharge) = $52.78
306,7324205326,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,19.27,138.06,tvs,"QN55Q6FAAFXZA, DM_CE_STANDARD_LARGE",55-inch,1,MATCH (FSA),FSA_12thAmd_Table,19.27,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($155.43) = $19.27
307,7324205326,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,155.43,138.06,tvs,"QN55Q6FAAFXZA, DM_CE_STANDARD_LARGE",55-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,155.43,0.0,12th Amd (Pg 3): TV Threshold 125-150 Miles @ $152.38,Size: 55-inch | Calc: 1 Unit: $152.38 * 1.02 (GRI) = $155.43
308,7325863823,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,19.27,145.49,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (FSA),FSA_12thAmd_Table,19.27,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($155.43) = $19.27
309,7325863823,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,155.43,145.49,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,155.43,0.0,12th Amd (Pg 3): TV Threshold 125-150 Miles @ $152.38,Size: 75-inch | Calc: 1 Unit: $152.38 * 1.02 (GRI) = $155.43
310,7324022540,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,22.65,"all-in-one-washer-dryer-combo, washers","DM_HA_STANDARD, WD53DBA900HBA1, HA-INST-WAS00",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
311,7324022540,1305771,Installation Fee,installation,White Glove,17.03,22.65,"all-in-one-washer-dryer-combo, washers","DM_HA_STANDARD, WD53DBA900HBA1, HA-INST-WAS00",,,MATCH (White Glove),Appliance_WhiteGlove_Observed,17.02,0.01,Inferred Pattern: Base $15 + $12/Extra (Qty 1),Calc: $15 * 1.135 (GRI) = $17.02
312,7324022540,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,22.65,"all-in-one-washer-dryer-combo, washers","DM_HA_STANDARD, WD53DBA900HBA1, HA-INST-WAS00",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
313,7325267708,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,15.17,91.76,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (FSA),FSA_12thAmd_Table,15.17,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($122.36) = $15.17
314,7325267708,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,122.36,91.76,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,122.36,0.0,12th Amd (Pg 3): TV Threshold 75-100 Miles @ $119.96,Size: 75-inch | Calc: 1 Unit: $119.96 * 1.02 (GRI) = $122.36
315,7325267717,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,11.49,14.8,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (FSA),FSA_12thAmd_Table,11.49,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($92.67) = $11.49
316,7325267717,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,92.67,14.8,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,92.67,0.0,12th Amd (Pg 3): TV Threshold 0-25 Miles @ $90.85,Size: 75-inch | Calc: 1 Unit: $90.85 * 1.02 (GRI) = $92.67
317,7323860217,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,8.18,"all-in-one-washer-dryer-combo, home-appliances-accessories","WD53DBA900HBA1, DM_HA_STANDARD, WE702NB/US",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
318,7323860217,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,8.18,"all-in-one-washer-dryer-combo, home-appliances-accessories","WD53DBA900HBA1, DM_HA_STANDARD, WE702NB/US",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
319,7325267724,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,12.4,28.89,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (FSA),FSA_12thAmd_Table,12.4,0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($100.0) = $12.4
320,7325267724,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,100.0,28.89,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,100.0,-0.0,12th Amd (Pg 3): TV Threshold 25-50 Miles @ $98.04,Size: 75-inch | Calc: 1 Unit: $98.04 * 1.02 (GRI) = $100.0
321,7321611741,1002782,Truck Freight Charge,freight,Limited Access (Special Facility),70.38,71.25,tvs,"QN85QEF1AFXZA, DM_CE_STANDARD_LARGE",85-inch,1,MATCH (Special Facilities (Tier 2)),LimitedAccess_12thAmd,70.38,0.0,12th Amd (Pg 5): Special Facilities @ $60.0 + 15%,Context: Special Fac | Calc: ($60.0 * 1.02 (GRI)) * 1.15 (Surcharge) = $70.38
322,7321611741,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,13.66,71.25,tvs,"QN85QEF1AFXZA, DM_CE_STANDARD_LARGE",85-inch,1,MATCH (FSA),FSA_12thAmd_Table,13.66,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($110.18) = $13.66
323,7321611741,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,110.18,71.25,tvs,"QN85QEF1AFXZA, DM_CE_STANDARD_LARGE",85-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,110.18,-0.0,12th Amd (Pg 3): TV Threshold 50-75 Miles @ $108.02,Size: 85-inch | Calc: 1 Unit: $108.02 * 1.02 (GRI) = $110.18
324,7324655130,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,11.49,9.0,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (FSA),FSA_12thAmd_Table,11.49,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($92.67) = $11.49
325,7324655130,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,92.67,9.0,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,92.67,0.0,12th Amd (Pg 3): TV Threshold 0-25 Miles @ $90.85,Size: 75-inch | Calc: 1 Unit: $90.85 * 1.02 (GRI) = $92.67
326,7325267725,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,13.66,50.45,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (FSA),FSA_12thAmd_Table,13.66,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($110.18) = $13.66
327,7325267725,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,110.18,50.45,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,110.18,-0.0,12th Amd (Pg 3): TV Threshold 50-75 Miles @ $108.02,Size: 75-inch | Calc: 1 Unit: $108.02 * 1.02 (GRI) = $110.18
328,7324723595,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,33.68,refrigerators,"RF90F29AEWAA, DM_HA_STANDARD, HA-INST-BESPOKE00",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
329,7324723595,1305771,Installation Fee,installation,White Glove,17.03,33.68,refrigerators,"RF90F29AEWAA, DM_HA_STANDARD, HA-INST-BESPOKE00",,,MATCH (White Glove),Appliance_WhiteGlove_Observed,17.02,0.01,Inferred Pattern: Base $15 + $12/Extra (Qty 1),Calc: $15 * 1.135 (GRI) = $17.02
330,7324723595,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,33.68,refrigerators,"RF90F29AEWAA, DM_HA_STANDARD, HA-INST-BESPOKE00",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
331,7324655137,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,16.02,110.9,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (FSA),FSA_12thAmd_Table,16.02,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($129.2) = $16.02
332,7324655137,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,129.2,110.9,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,129.2,-0.0,12th Amd (Pg 3): TV Threshold 100-125 Miles @ $126.67,Size: 75-inch | Calc: 1 Unit: $126.67 * 1.02 (GRI) = $129.2
333,7322355526,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,15.17,95.37,tvs,"QN65QEF1AFXZA, DM_CE_STANDARD_LARGE",65-inch,1,MATCH (FSA),FSA_12thAmd_Table,15.17,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($122.36) = $15.17
334,7322355526,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,122.36,95.37,tvs,"QN65QEF1AFXZA, DM_CE_STANDARD_LARGE",65-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,122.36,0.0,12th Amd (Pg 3): TV Threshold 75-100 Miles @ $119.96,Size: 65-inch | Calc: 1 Unit: $119.96 * 1.02 (GRI) = $122.36
335,7324655132,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,12.4,28.7,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (FSA),FSA_12thAmd_Table,12.4,0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($100.0) = $12.4
336,7324655132,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,100.0,28.7,tvs,"DM_CE_STANDARD_LARGE, QN75QN1EFAFXZA",75-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,100.0,-0.0,12th Amd (Pg 3): TV Threshold 25-50 Miles @ $98.04,Size: 75-inch | Calc: 1 Unit: $98.04 * 1.02 (GRI) = $100.0
337,7322352519,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,12.4,43.59,tvs,"QN55QEF1AFXZA, DM_CE_STANDARD_LARGE",55-inch,1,MATCH (FSA),FSA_12thAmd_Table,12.4,0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($100.0) = $12.4
338,7322352519,1002900,Truck Freight Charge,freight,Threshold Tv Delivery,100.0,43.59,tvs,"QN55QEF1AFXZA, DM_CE_STANDARD_LARGE",55-inch,1,MATCH (TV Threshold),TV_Threshold_12thAmd,100.0,-0.0,12th Amd (Pg 3): TV Threshold 25-50 Miles @ $98.04,Size: 55-inch | Calc: 1 Unit: $98.04 * 1.02 (GRI) = $100.0
339,7324123341,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,18.73,refrigerators,"RF90F29AECEAA, DM_HA_STANDARD",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
340,7324123341,1002770,Truck Freight Charge,freight,Last Mile (Delivery),87.36,18.73,refrigerators,"RF90F29AECEAA, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,87.36,-0.0,XPO 2017 (Pg 22): Appliance Delivery 1 Unit(s) @ $77.0 Base,Calc: $77.0 * 1.13455 (Hist. GRI) = $87.36
341,7322354871,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,13.66,68.03,tvs,"QN65QN1EFAFXZA, DM_CE_STANDARD_LARGE",65-inch,1,MATCH (FSA),FSA_12thAmd_Table,13.66,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($110.18) = $13.66
